id,neighbourhood_cleansed,latitude,longitude,calculated_host_listings_count,price,property_type,room_type,availability_365,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,instant_bookable,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,Standardization_Category,Standardization_Score,Neighborhood_Category,Neighborhood_Impact
1054536939530012956,Élysée,48.87289,2.30934,2,,1,2,318,4,1.0,1,1,4,1.0,1.0,2,0,42,4.98,4.93,4.98,5.0,2.18,,,,
1055868582318336137,Élysée,48.8806226,2.3179901,1,,2,3,263,0,1.0,0,1,4,2.0,1.0,7,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1055940525192192965,Élysée,48.88159,2.31808,1,,2,3,267,0,1.0,0,1,2,1.0,1.0,1,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1055029714114946850,Élysée,48.87612026901822,2.3073810338974,2,,2,3,0,0,1.0,0,0,3,2.0,1.0,10,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1055052159721471431,Élysée,48.87652269360048,2.3075805231928825,2,,2,3,0,0,1.0,0,0,1,1.0,1.0,10,0,2,3.5,3.0,4.5,4.5,0.1,,,,
1055071714989725297,Élysée,48.87178,2.32535,12,,2,3,324,4,1.0,0,1,2,1.0,1.0,1,1,53,4.58,4.68,4.66,4.87,2.66,,,,
1055095228936782097,Élysée,48.87201934218327,2.2984890467519863,8,,2,3,107,4,0.94,1,1,8,4.0,1.0,3,1,3,5.0,5.0,5.0,5.0,0.35,,,,
1055146850335904900,Élysée,48.88196964485167,2.325311249810449,1,,2,3,269,0,1.0,0,1,2,1.0,1.0,7,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1056476505818415023,Élysée,48.87574,2.30692,1,,2,3,193,2,0.5,0,1,5,3.0,1.0,1,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1060674457719973419,Élysée,48.87432244064132,2.322285567671797,1,,2,3,0,0,1.0,0,1,4,1.0,1.0,2,0,1,5.0,5.0,5.0,5.0,0.07,,,,
